epoch,split,group_type,group_name,auc,model_name,seed,run_id
0,val,label,No Finding,0.8056675612071597,192713_convnext_t,42,20260208
0,val,label,Enlarged Cardiomediastinum,0.5689290977723948,192713_convnext_t,42,20260208
0,val,label,Cardiomegaly,0.7014100463405974,192713_convnext_t,42,20260208
0,val,label,Lung Opacity,0.6756793176680225,192713_convnext_t,42,20260208
0,val,label,Lung Lesion,0.6738437358965387,192713_convnext_t,42,20260208
0,val,label,Edema,0.7661819747945376,192713_convnext_t,42,20260208
0,val,label,Consolidation,0.6409757663408009,192713_convnext_t,42,20260208
0,val,label,Pneumonia,0.643527886243278,192713_convnext_t,42,20260208
0,val,label,Atelectasis,0.6202615860210936,192713_convnext_t,42,20260208
0,val,label,Pneumothorax,0.7307682583693195,192713_convnext_t,42,20260208
0,val,label,Pleural Effusion,0.7768199176854959,192713_convnext_t,42,20260208
0,val,label,Pleural Other,0.7245771689825805,192713_convnext_t,42,20260208
0,val,label,Fracture,0.6316895358246795,192713_convnext_t,42,20260208
0,val,label,Support Devices,0.7786675300934175,192713_convnext_t,42,20260208
0,val,gender,sex=0,0.6976601794924961,192713_convnext_t,42,20260208
0,val,gender,sex=1,0.6927820375252179,192713_convnext_t,42,20260208
0,val,age_bin,18-27,0.7184745754109081,192713_convnext_t,42,20260208
0,val,age_bin,28-37,0.7165096693959728,192713_convnext_t,42,20260208
0,val,age_bin,38-47,0.7086474752739873,192713_convnext_t,42,20260208
0,val,age_bin,48-57,0.7005666408514027,192713_convnext_t,42,20260208
0,val,age_bin,58-67,0.6910179275324765,192713_convnext_t,42,20260208
0,val,age_bin,68-77,0.6815403697443326,192713_convnext_t,42,20260208
0,val,age_bin,78-87,0.6654970122422087,192713_convnext_t,42,20260208
0,val,age_bin,88-97,0.6375655040664912,192713_convnext_t,42,20260208
1,val,label,No Finding,0.8136467057924491,192713_convnext_t,42,20260208
1,val,label,Enlarged Cardiomediastinum,0.5891341294655945,192713_convnext_t,42,20260208
1,val,label,Cardiomegaly,0.7168889157164663,192713_convnext_t,42,20260208
1,val,label,Lung Opacity,0.6798857486333456,192713_convnext_t,42,20260208
1,val,label,Lung Lesion,0.6941734666471535,192713_convnext_t,42,20260208
1,val,label,Edema,0.7740580043451991,192713_convnext_t,42,20260208
1,val,label,Consolidation,0.6522136490145557,192713_convnext_t,42,20260208
1,val,label,Pneumonia,0.6665374371758073,192713_convnext_t,42,20260208
1,val,label,Atelectasis,0.62710868264008,192713_convnext_t,42,20260208
1,val,label,Pneumothorax,0.7466492102725739,192713_convnext_t,42,20260208
1,val,label,Pleural Effusion,0.7844018680246241,192713_convnext_t,42,20260208
1,val,label,Pleural Other,0.7488219029100212,192713_convnext_t,42,20260208
1,val,label,Fracture,0.6653085910482558,192713_convnext_t,42,20260208
1,val,label,Support Devices,0.7840483642917266,192713_convnext_t,42,20260208
1,val,gender,sex=0,0.7113803809649717,192713_convnext_t,42,20260208
1,val,gender,sex=1,0.7075380361457481,192713_convnext_t,42,20260208
1,val,age_bin,18-27,0.7369287853600183,192713_convnext_t,42,20260208
1,val,age_bin,28-37,0.7355699630644029,192713_convnext_t,42,20260208
1,val,age_bin,38-47,0.7212070389997407,192713_convnext_t,42,20260208
1,val,age_bin,48-57,0.7157950630150905,192713_convnext_t,42,20260208
1,val,age_bin,58-67,0.704186443090257,192713_convnext_t,42,20260208
1,val,age_bin,68-77,0.6956157575183118,192713_convnext_t,42,20260208
1,val,age_bin,78-87,0.6796679119134639,192713_convnext_t,42,20260208
1,val,age_bin,88-97,0.6492640603198215,192713_convnext_t,42,20260208
2,val,label,No Finding,0.8181629491645813,192713_convnext_t,42,20260208
2,val,label,Enlarged Cardiomediastinum,0.5953217803067772,192713_convnext_t,42,20260208
2,val,label,Cardiomegaly,0.7250576148405388,192713_convnext_t,42,20260208
2,val,label,Lung Opacity,0.6818025699030512,192713_convnext_t,42,20260208
2,val,label,Lung Lesion,0.7004651944969521,192713_convnext_t,42,20260208
2,val,label,Edema,0.7777085274247931,192713_convnext_t,42,20260208
2,val,label,Consolidation,0.6600169952143224,192713_convnext_t,42,20260208
2,val,label,Pneumonia,0.6763758470901386,192713_convnext_t,42,20260208
2,val,label,Atelectasis,0.6305999474189332,192713_convnext_t,42,20260208
2,val,label,Pneumothorax,0.7521482891304443,192713_convnext_t,42,20260208
2,val,label,Pleural Effusion,0.7874486306767402,192713_convnext_t,42,20260208
2,val,label,Pleural Other,0.7554906080871164,192713_convnext_t,42,20260208
2,val,label,Fracture,0.6738158103418814,192713_convnext_t,42,20260208
2,val,label,Support Devices,0.786886274509804,192713_convnext_t,42,20260208
2,val,gender,sex=0,0.7170904316152001,192713_convnext_t,42,20260208
2,val,gender,sex=1,0.7127182070954384,192713_convnext_t,42,20260208
2,val,age_bin,18-27,0.7393349834255328,192713_convnext_t,42,20260208
2,val,age_bin,28-37,0.7395645721074086,192713_convnext_t,42,20260208
2,val,age_bin,38-47,0.7280282982583123,192713_convnext_t,42,20260208
2,val,age_bin,48-57,0.7219547263753967,192713_convnext_t,42,20260208
2,val,age_bin,58-67,0.7109124090667933,192713_convnext_t,42,20260208
2,val,age_bin,68-77,0.7012046645101951,192713_convnext_t,42,20260208
2,val,age_bin,78-87,0.6846553271151317,192713_convnext_t,42,20260208
2,val,age_bin,88-97,0.6525611417114682,192713_convnext_t,42,20260208
3,val,label,No Finding,0.8566485731802758,192713_convnext_t,42,20260208
3,val,label,Enlarged Cardiomediastinum,0.6353621860829838,192713_convnext_t,42,20260208
3,val,label,Cardiomegaly,0.8127754329162805,192713_convnext_t,42,20260208
3,val,label,Lung Opacity,0.7094593155480595,192713_convnext_t,42,20260208
3,val,label,Lung Lesion,0.726742319132306,192713_convnext_t,42,20260208
3,val,label,Edema,0.8174495388995455,192713_convnext_t,42,20260208
3,val,label,Consolidation,0.7006281905344636,192713_convnext_t,42,20260208
3,val,label,Pneumonia,0.7301362261792741,192713_convnext_t,42,20260208
3,val,label,Atelectasis,0.6568136272385241,192713_convnext_t,42,20260208
3,val,label,Pneumothorax,0.8017218388118637,192713_convnext_t,42,20260208
3,val,label,Pleural Effusion,0.8551586520489615,192713_convnext_t,42,20260208
3,val,label,Pleural Other,0.7742276215985758,192713_convnext_t,42,20260208
3,val,label,Fracture,0.7079716977717487,192713_convnext_t,42,20260208
3,val,label,Support Devices,0.8262150862135742,192713_convnext_t,42,20260208
3,val,gender,sex=0,0.7573694401936806,192713_convnext_t,42,20260208
3,val,gender,sex=1,0.7571650982590153,192713_convnext_t,42,20260208
3,val,age_bin,18-27,0.7857521406621439,192713_convnext_t,42,20260208
3,val,age_bin,28-37,0.7845173629789635,192713_convnext_t,42,20260208
3,val,age_bin,38-47,0.7722934826511759,192713_convnext_t,42,20260208
3,val,age_bin,48-57,0.763383646665277,192713_convnext_t,42,20260208
3,val,age_bin,58-67,0.7496638681638873,192713_convnext_t,42,20260208
3,val,age_bin,68-77,0.7447789862355808,192713_convnext_t,42,20260208
3,val,age_bin,78-87,0.7263264440333758,192713_convnext_t,42,20260208
3,val,age_bin,88-97,0.703045021887953,192713_convnext_t,42,20260208
4,val,label,No Finding,0.8629961717167669,192713_convnext_t,42,20260208
4,val,label,Enlarged Cardiomediastinum,0.6510145231340909,192713_convnext_t,42,20260208
4,val,label,Cardiomegaly,0.8315925363638104,192713_convnext_t,42,20260208
4,val,label,Lung Opacity,0.7172540176008213,192713_convnext_t,42,20260208
4,val,label,Lung Lesion,0.730735361629101,192713_convnext_t,42,20260208
4,val,label,Edema,0.8254780419552157,192713_convnext_t,42,20260208
4,val,label,Consolidation,0.7096798555886874,192713_convnext_t,42,20260208
4,val,label,Pneumonia,0.7421999312302875,192713_convnext_t,42,20260208
4,val,label,Atelectasis,0.6656274248550191,192713_convnext_t,42,20260208
4,val,label,Pneumothorax,0.8103773883047143,192713_convnext_t,42,20260208
4,val,label,Pleural Effusion,0.8651311171404911,192713_convnext_t,42,20260208
4,val,label,Pleural Other,0.7792459906459859,192713_convnext_t,42,20260208
4,val,label,Fracture,0.7173155614763638,192713_convnext_t,42,20260208
4,val,label,Support Devices,0.8406263438111615,192713_convnext_t,42,20260208
4,val,gender,sex=0,0.7669158773020702,192713_convnext_t,42,20260208
4,val,gender,sex=1,0.767466587388916,192713_convnext_t,42,20260208
4,val,age_bin,18-27,0.7925318360791689,192713_convnext_t,42,20260208
4,val,age_bin,28-37,0.7933478225877751,192713_convnext_t,42,20260208
4,val,age_bin,38-47,0.7808357236108862,192713_convnext_t,42,20260208
4,val,age_bin,48-57,0.773226538007969,192713_convnext_t,42,20260208
4,val,age_bin,58-67,0.7599470567583035,192713_convnext_t,42,20260208
4,val,age_bin,68-77,0.7561301949020888,192713_convnext_t,42,20260208
4,val,age_bin,78-87,0.7362031976158688,192713_convnext_t,42,20260208
4,val,age_bin,88-97,0.7130327715105377,192713_convnext_t,42,20260208
5,val,label,No Finding,0.8654548798289411,192713_convnext_t,42,20260208
5,val,label,Enlarged Cardiomediastinum,0.6558205633059478,192713_convnext_t,42,20260208
5,val,label,Cardiomegaly,0.8386827410247586,192713_convnext_t,42,20260208
5,val,label,Lung Opacity,0.7214790551085754,192713_convnext_t,42,20260208
5,val,label,Lung Lesion,0.7348675225083068,192713_convnext_t,42,20260208
5,val,label,Edema,0.8293900187177459,192713_convnext_t,42,20260208
5,val,label,Consolidation,0.7175184801848316,192713_convnext_t,42,20260208
5,val,label,Pneumonia,0.7456282669126802,192713_convnext_t,42,20260208
5,val,label,Atelectasis,0.6710380261935391,192713_convnext_t,42,20260208
5,val,label,Pneumothorax,0.8219784682617394,192713_convnext_t,42,20260208
5,val,label,Pleural Effusion,0.8705110402777013,192713_convnext_t,42,20260208
5,val,label,Pleural Other,0.7836899569885186,192713_convnext_t,42,20260208
5,val,label,Fracture,0.7230708370633914,192713_convnext_t,42,20260208
5,val,label,Support Devices,0.8500371500720383,192713_convnext_t,42,20260208
5,val,gender,sex=0,0.7727865486391091,192713_convnext_t,42,20260208
5,val,gender,sex=1,0.7731168539813381,192713_convnext_t,42,20260208
5,val,age_bin,18-27,0.798770290847535,192713_convnext_t,42,20260208
5,val,age_bin,28-37,0.8007541478293858,192713_convnext_t,42,20260208
5,val,age_bin,38-47,0.7849958418912093,192713_convnext_t,42,20260208
5,val,age_bin,48-57,0.7786701133146253,192713_convnext_t,42,20260208
5,val,age_bin,58-67,0.765471569400498,192713_convnext_t,42,20260208
5,val,age_bin,68-77,0.7634450294859924,192713_convnext_t,42,20260208
5,val,age_bin,78-87,0.7418182238207776,192713_convnext_t,42,20260208
5,val,age_bin,88-97,0.7185721110514834,192713_convnext_t,42,20260208
6,val,label,No Finding,0.8676870508584502,192713_convnext_t,42,20260208
