epoch,split,group_type,group_name,auc,model_name,seed,run_id
0,val,label,No Finding,0.8231660768319079,225726_vgg19_hf,42,20260208
0,val,label,Enlarged Cardiomediastinum,0.563796897001801,225726_vgg19_hf,42,20260208
0,val,label,Cardiomegaly,0.7204812231180366,225726_vgg19_hf,42,20260208
0,val,label,Lung Opacity,0.6815299069255172,225726_vgg19_hf,42,20260208
0,val,label,Lung Lesion,0.690924841632437,225726_vgg19_hf,42,20260208
0,val,label,Edema,0.7732035464743652,225726_vgg19_hf,42,20260208
0,val,label,Consolidation,0.6446418721289743,225726_vgg19_hf,42,20260208
0,val,label,Pneumonia,0.6457184764104583,225726_vgg19_hf,42,20260208
0,val,label,Atelectasis,0.6148988436632157,225726_vgg19_hf,42,20260208
0,val,label,Pneumothorax,0.7334398262543276,225726_vgg19_hf,42,20260208
0,val,label,Pleural Effusion,0.7913337801906406,225726_vgg19_hf,42,20260208
0,val,label,Pleural Other,0.7457958444053163,225726_vgg19_hf,42,20260208
0,val,label,Fracture,0.6482676097306089,225726_vgg19_hf,42,20260208
0,val,label,Support Devices,0.7834237060217819,225726_vgg19_hf,42,20260208
0,val,gender,sex=0,0.7035548350090949,225726_vgg19_hf,42,20260208
0,val,gender,sex=1,0.7039825702375853,225726_vgg19_hf,42,20260208
0,val,age_bin,18-27,0.737236175569844,225726_vgg19_hf,42,20260208
0,val,age_bin,28-37,0.7298388881572754,225726_vgg19_hf,42,20260208
0,val,age_bin,38-47,0.7166235637995574,225726_vgg19_hf,42,20260208
0,val,age_bin,48-57,0.7092643789371639,225726_vgg19_hf,42,20260208
0,val,age_bin,58-67,0.7041252808215894,225726_vgg19_hf,42,20260208
0,val,age_bin,68-77,0.6845404236146829,225726_vgg19_hf,42,20260208
0,val,age_bin,78-87,0.675366031756002,225726_vgg19_hf,42,20260208
0,val,age_bin,88-97,0.6461929200354968,225726_vgg19_hf,42,20260208
1,val,label,No Finding,0.8228240256441083,225726_vgg19_hf,42,20260208
1,val,label,Enlarged Cardiomediastinum,0.5542885798060525,225726_vgg19_hf,42,20260208
1,val,label,Cardiomegaly,0.7250187254569169,225726_vgg19_hf,42,20260208
1,val,label,Lung Opacity,0.6809359905576864,225726_vgg19_hf,42,20260208
1,val,label,Lung Lesion,0.6875644620163126,225726_vgg19_hf,42,20260208
1,val,label,Edema,0.7785823724346916,225726_vgg19_hf,42,20260208
1,val,label,Consolidation,0.6441015713206337,225726_vgg19_hf,42,20260208
1,val,label,Pneumonia,0.6654810631884974,225726_vgg19_hf,42,20260208
1,val,label,Atelectasis,0.6247622365841705,225726_vgg19_hf,42,20260208
1,val,label,Pneumothorax,0.7516962482521641,225726_vgg19_hf,42,20260208
