epoch,split,group_type,group_name,auc,model_name,seed,run_id
0,val,label,No Finding,0.794041701616852,201733_deit_small,42,20260209
0,val,label,Enlarged Cardiomediastinum,0.5683781058552024,201733_deit_small,42,20260209
0,val,label,Cardiomegaly,0.6726009659160598,201733_deit_small,42,20260209
0,val,label,Lung Opacity,0.6649726069428499,201733_deit_small,42,20260209
0,val,label,Lung Lesion,0.6760197569053817,201733_deit_small,42,20260209
0,val,label,Edema,0.7616780788809125,201733_deit_small,42,20260209
0,val,label,Consolidation,0.6250456582905721,201733_deit_small,42,20260209
0,val,label,Pneumonia,0.6401114572152139,201733_deit_small,42,20260209
0,val,label,Atelectasis,0.6054651047409744,201733_deit_small,42,20260209
0,val,label,Pneumothorax,0.7015757831347262,201733_deit_small,42,20260209
0,val,label,Pleural Effusion,0.7655909658380504,201733_deit_small,42,20260209
0,val,label,Pleural Other,0.7208149741518783,201733_deit_small,42,20260209
0,val,label,Fracture,0.6306293895588795,201733_deit_small,42,20260209
0,val,label,Support Devices,0.7655231013132142,201733_deit_small,42,20260209
0,val,gender,sex=0,0.6888113050472706,201733_deit_small,42,20260209
0,val,gender,sex=1,0.6791621321225341,201733_deit_small,42,20260209
0,val,age_bin,18-27,0.7183366823255513,201733_deit_small,42,20260209
0,val,age_bin,28-37,0.7022157469411914,201733_deit_small,42,20260209
0,val,age_bin,38-47,0.6931653745416144,201733_deit_small,42,20260209
0,val,age_bin,48-57,0.6877721567497161,201733_deit_small,42,20260209
0,val,age_bin,58-67,0.6791951576517011,201733_deit_small,42,20260209
0,val,age_bin,68-77,0.6686126087726068,201733_deit_small,42,20260209
0,val,age_bin,78-87,0.6603464906750839,201733_deit_small,42,20260209
0,val,age_bin,88-97,0.6374597762530845,201733_deit_small,42,20260209
1,val,label,No Finding,0.8013699321079695,201733_deit_small,42,20260209
1,val,label,Enlarged Cardiomediastinum,0.567636535399623,201733_deit_small,42,20260209
1,val,label,Cardiomegaly,0.6850967352541388,201733_deit_small,42,20260209
1,val,label,Lung Opacity,0.6683080623070615,201733_deit_small,42,20260209
1,val,label,Lung Lesion,0.6831668136969546,201733_deit_small,42,20260209
1,val,label,Edema,0.7646281906109986,201733_deit_small,42,20260209
1,val,label,Consolidation,0.6377642734305832,201733_deit_small,42,20260209
1,val,label,Pneumonia,0.6632569391981428,201733_deit_small,42,20260209
1,val,label,Atelectasis,0.6110455496252962,201733_deit_small,42,20260209
1,val,label,Pneumothorax,0.7116798382975609,201733_deit_small,42,20260209
1,val,label,Pleural Effusion,0.7720742241721197,201733_deit_small,42,20260209
1,val,label,Pleural Other,0.7222159397635136,201733_deit_small,42,20260209
1,val,label,Fracture,0.6360282302777094,201733_deit_small,42,20260209
1,val,label,Support Devices,0.7685728898459567,201733_deit_small,42,20260209
1,val,gender,sex=0,0.6959427118482793,201733_deit_small,42,20260209
1,val,gender,sex=1,0.6864482608617622,201733_deit_small,42,20260209
1,val,age_bin,18-27,0.7275593856270401,201733_deit_small,42,20260209
1,val,age_bin,28-37,0.7099453594079016,201733_deit_small,42,20260209
1,val,age_bin,38-47,0.6970530118478145,201733_deit_small,42,20260209
1,val,age_bin,48-57,0.6948336064799678,201733_deit_small,42,20260209
1,val,age_bin,58-67,0.6868714978236615,201733_deit_small,42,20260209
1,val,age_bin,68-77,0.6783099374751856,201733_deit_small,42,20260209
1,val,age_bin,78-87,0.6634343256730999,201733_deit_small,42,20260209
1,val,age_bin,88-97,0.6374854200770665,201733_deit_small,42,20260209
2,val,label,No Finding,0.8027676746599526,201733_deit_small,42,20260209
2,val,label,Enlarged Cardiomediastinum,0.5762950531795623,201733_deit_small,42,20260209
2,val,label,Cardiomegaly,0.6878038618311098,201733_deit_small,42,20260209
2,val,label,Lung Opacity,0.6701061350431335,201733_deit_small,42,20260209
2,val,label,Lung Lesion,0.6863534550209958,201733_deit_small,42,20260209
2,val,label,Edema,0.7646395748860252,201733_deit_small,42,20260209
2,val,label,Consolidation,0.6356928471768343,201733_deit_small,42,20260209
2,val,label,Pneumonia,0.6702192479616589,201733_deit_small,42,20260209
2,val,label,Atelectasis,0.6122839326553948,201733_deit_small,42,20260209
2,val,label,Pneumothorax,0.7134917128680192,201733_deit_small,42,20260209
2,val,label,Pleural Effusion,0.7725338741237124,201733_deit_small,42,20260209
2,val,label,Pleural Other,0.7335266788351315,201733_deit_small,42,20260209
2,val,label,Fracture,0.6438988079242992,201733_deit_small,42,20260209
2,val,label,Support Devices,0.7706358766208617,201733_deit_small,42,20260209
2,val,gender,sex=0,0.6990746014276618,201733_deit_small,42,20260209
2,val,gender,sex=1,0.6900008828741374,201733_deit_small,42,20260209
2,val,age_bin,18-27,0.7311314561372823,201733_deit_small,42,20260209
2,val,age_bin,28-37,0.7071486855607038,201733_deit_small,42,20260209
2,val,age_bin,38-47,0.6982739804723879,201733_deit_small,42,20260209
2,val,age_bin,48-57,0.7014983506220039,201733_deit_small,42,20260209
2,val,age_bin,58-67,0.692013955806667,201733_deit_small,42,20260209
2,val,age_bin,68-77,0.6821290130256037,201733_deit_small,42,20260209
2,val,age_bin,78-87,0.6654717319496364,201733_deit_small,42,20260209
2,val,age_bin,88-97,0.641149354174039,201733_deit_small,42,20260209
3,val,label,No Finding,0.8571307014864942,201733_deit_small,42,20260209
3,val,label,Enlarged Cardiomediastinum,0.6500987413420739,201733_deit_small,42,20260209
3,val,label,Cardiomegaly,0.8214373273625004,201733_deit_small,42,20260209
3,val,label,Lung Opacity,0.7113480098795406,201733_deit_small,42,20260209
3,val,label,Lung Lesion,0.7259588616340066,201733_deit_small,42,20260209
3,val,label,Edema,0.8201980978673342,201733_deit_small,42,20260209
3,val,label,Consolidation,0.7014100928992253,201733_deit_small,42,20260209
3,val,label,Pneumonia,0.7374382064159456,201733_deit_small,42,20260209
3,val,label,Atelectasis,0.6564027578897125,201733_deit_small,42,20260209
3,val,label,Pneumothorax,0.8007960939220095,201733_deit_small,42,20260209
3,val,label,Pleural Effusion,0.8594516777561708,201733_deit_small,42,20260209
3,val,label,Pleural Other,0.7752834829080153,201733_deit_small,42,20260209
3,val,label,Fracture,0.7082130501611539,201733_deit_small,42,20260209
3,val,label,Support Devices,0.8299546287833015,201733_deit_small,42,20260209
3,val,gender,sex=0,0.7616662809804121,201733_deit_small,42,20260209
3,val,gender,sex=1,0.7591472122002842,201733_deit_small,42,20260209
3,val,age_bin,18-27,0.7838274538658592,201733_deit_small,42,20260209
3,val,age_bin,28-37,0.7775042814794206,201733_deit_small,42,20260209
